study_id,title,authors,year,source_title,publisher,document_type,country,institution,citations,doi,keywords
S001,"Quantum-computing with AI & blockchain: modelling, fault tolerance and capacity scheduling",Wanyang Dai,2019,,,,,,,,
S002,Blockchain-Based SQKD and IDS in Edge Enabled Smart Grid Network,Alkhiari et al.,2022,,,,,,,,
S003,Combination of Blockchain and AI for Music Intellectual Property Protection,Na Li,2022,,,,,,,,
S004,Designing quantum blockchain system integrated with 6G network,Saini et al.,2023,,,,,,,,
S005,Improving phishing detection in Ethereum transaction network using Quantum Machine Learning,Ray et al.,2023,,,,,,,,
S006,IoT-Enabled Secure and Scalable Cloud Architecture for Multi-User Systems: A Hybrid Post-Quantum Cryptographic and Blockchain-Based Approach Toward a Trustworthy Cloud Computing,Irshad et al.,2023,,,,,,,,
S007,Probabilistic Neural Network Based Visual Data Mining for Healthcare Sector,Abosinnee et al.,2023,,,,,,,,
S008,Qwallet: A Hybrid Cryptocurrency Wallet using Quantum RNG,"Muhammad Muneem Shabir, Kaiwen Zhang",2023,,,,,,,,
S009,Blockchain Based Optimized Energy Trading for E-Mobility Using Quantum Reinforcement Learning,"Manoj Kumar, Upasana Dohare, Sushil Kumar, Neeraj Kumar",2023,,,,,,,,
S010,Securing Health Records Using Quantum Convolutional Neural Network,"Arulmozhi, B.; Sheeba, J. I.; Devaneyan, S. P.",2023,,,,,,,,
S011,Blockchain Based Secure Federated Learning With Local Differential Privacy and Incentivization,De Chaudhury et al.,2024,,,,,,,,
S012,DT-Block: Adaptive vertical federated reinforcement learning scheme for secure and efficient communication in 6G,Abdulqadder et al.,2024,,,,,,,,
S013,Hybrid computing framework security in dynamic offloading for IoT-enabled smart home system,Khan et al.,2024,,,,,,,,
S014,Performance analysis and evaluation of postquantum secure blockchained federated learning,Gurung et al.,2024,,,,,,,,
S015,Privacy preserving verifiable federated learning scheme using blockchain and homomorphic encryption,Mahato et al.,2024,,,,,,,,
S016,IoMT-Based Smart Healthcare Detection System Driven by Quantum Blockchain and Quantum Neural Network,"Zhiguo Qu, Wenke Shi, Bo Liu, Deepak Gupta, Prayag Tiwari",2024,,,,,,,,
S017,Quantum-Inspired Heuristic Algorithm for Secure Healthcare Prediction Using Blockchain Technology,"Hirak Mazumdar, Chinmay Chakraborty, Satheesh Bojja Venkatakrishnan, Ajeet Kaushik, Hardik A. Gohel",2024,,,,,,,,
S018,"Secure and Scalable IoT-Based Health Monitoring System using Deep Learning, Blockchain, and Decentralized Edge Computing","Balamurugan A M, Rajeshwar N, Vishal S",2024,,,,,,,,
S019,Quantum Deep Neural Network Based Classification of Attack Vectors on the Ethereum Blockchain,"Rajawat, A. S.; Goyal, S. B.; Kumar, M.; Kumar, S.",2024,,,,,,,,
S020,"AI-Driven Big Data Analytics For Personalized Medicine In Healthcare: Integrating Federated Learning, Blockchain, And Quantum Computing","Mondal, S.; Das, S.; Golder, S. S.; Bose, R.; Sutradhar, S.; Mondal, H.",2024,,,,,,,,
S021,Synergistic Solutions for Cloud Cybersecurity and Financial Operations using AI Blockchain and Quantum Computing,Boopalan,2024,,,,,,,,
S022,Enhancing Security in Distributed Computing Through Quantum Neural Network-Enabled Blockchain,"Xiuliang, Q.; Rajawat, A. S.; Goyal, S. B.; Solanki, R. K.",2024,,,,,,,,
S023,A New Frontier in Digital Security: Verification for NFT Image Using Deep Learning-Based ConvNeXt Model in Quantum Blockchain,"Prihatno, A. T.; Suryanto, N.; Larasati, H. T.; Oktian, Y. E.; Le, T. T. H.; Kim, H.",2024,,,,,,,,
S024,A Multifaceted Deepfake Prevention Framework Integrating Blockchain Post-Quantum Cryptography Hybrid Watermarking Human Oversight and Policy Governance,Alkhatib,2025,,,,,,,,
S025,A Post-Quantum Blockchain and Autonomous AI-Enabled Scheme for Secure Healthcare Information Exchange,He et al.,2025,,,,,,,,
S026,A Quantum-Resilient Sharded Blockchain Framework for Secure V2X and Federated Learning in Intelligent Transportation Systems,Qayyum et al.,2025,,,,,,,,
S027,A Unified Biometric Authentication Framework for Web2-Web3 Interoperability Using Zero-Knowledge Proofs and Cross-Chain Decentralized Identifiers,Kapure et al.,2025,,,,,,,,
S028,Adaptive and Scalable Cloud Data Sharing Framework with Quantum-Resistant Security Decentralized Auditing and Machine Learning-Based Threat Detection,Reddy et al.,2025,,,,,,,,
S029,An online tool based on the Internet of Things and intelligent blockchain technology for data privacy and security in rural and agricultural development,Thiruvenkatasamy et al.,2025,,,,,,,,
S030,Blockchain-Enabled Decentralized Data Lakes for Secure and Transparent AI-Ready Data Storage,Gundu et al.,2025,,,,,,,,
S031,Central Bank Digital Currency (CBDC) 3.0: Quantum Ledger-Based Multi-Currency Smart Exchange System,Aswidth.H et al.,2025,,,,,,,,
S032,Cyber Threats in the Pharmaceutical Industry: A Deep Dive Into Recent Attacks and Future Implications,Chaganti et al.,2025,,,,,,,,
