Table 2. Year-wise distribution of included studies,,,,,,Year,Frequency
Year,Number of studies (n),Percentage (%),,,,2019,2
2019,2,2.56,,,,2022,3
2022,3,3.85,,,,2023,9
2023,9,11.54,,,,2024,13
2024,13,16.67,,,,2025,51
2025,51,65.38,,,,Total,78
Total,78,100,,,,,
,,,,,,,
,,,,,,,
Table 3. Distribution of studies by publication type,,,,,,Journal Type,Frequency
Publication type,Number of studies (n),Percentage (%),,,,Journal Article,53
Journal,53,67.95,,,,Frequency,25
Conference paper,25,32.05,,,,,
Total,78,100,,,,,
,,,,,,,
,,,,,,,
Table 4. Venue-wise distribution of included studies,,,,,,,
Venue name,Number of studies (n),Percentage (%),,,,,
Computer Networks,3,3.85,,,,,
IEEE Journal of Biomedical and Health Informatics,2,2.56,,,,,
Scientific Reports,2,2.56,,,,,
Sensors,2,2.56,,,,,
IEEE Access,2,2.56,,,,,
Other venues,67,85.9,,,,,
Total,78,100,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Table 5. Publisher-wise distribution of included studies,,,,,,,
Publisher,Number of studies (n),Percentage (%),,,,,
IEEE,37,47.44,,,,,
Elsevier,9,11.54,,,,,
Springer Nature,8,10.26,,,,,
MDPI,5,6.41,,,,,
Springer,2,2.56,,,,,
Tech Science Press,2,2.56,,,,,
Taylor & Francis,2,2.56,,,,,
Science and Information (SAI) Organization,1,1.28,,,,,
Universitas Muhammadiyah Yogyakarta,1,1.28,,,,,
Hindawi,1,1.28,,,,,
PeerJ,1,1.28,,,,,
Wiley,1,1.28,,,,,
Ital,1,1.28,,,,,
AIP,1,1.28,,,,,
Seventh Sense Research Group,1,1.28,,,,,
ASPG,1,1.28,,,,,
Josip Juraj Strossmayer University in Osijek,1,1.28,,,,,
EAI,1,1.28,,,,,
River Publishers,1,1.28,,,,,
SSRG,1,1.28,,,,,
Total,78,100,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Table 6. Country/region-wise distribution of included studies,,,,,,,
Country/region,Number of studies (n),Percentage (%),,,,,
India,34,43.59,,,,,
China,11,14.1,,,,,
Saudi Arabia,6,7.69,,,,,
USA,5,6.41,,,,,
Iraq,3,3.85,,,,,
Turkey,3,3.85,,,,,
Morocco,2,2.56,,,,,
Pakistan,2,2.56,,,,,
Australia,1,1.28,,,,,
Bangladesh,1,1.28,,,,,
Canada,1,1.28,,,,,
Hong Kong,1,1.28,,,,,
Kazakhstan,1,1.28,,,,,
Korea,1,1.28,,,,,
Portugal,1,1.28,,,,,
Qatar,1,1.28,,,,,
South Korea,1,1.28,,,,,
Thailand,1,1.28,,,,,
United Arab Emirates,1,1.28,,,,,
United Kingdom,1,1.28,,,,,
Total,78,100,,,,,
,,,,,,,
,,,,,,,
Table 7. Cross-tabulation of year by publication type,,,,,,,
Year,Journal,Conference paper,Total,,,,
2019,2,0,2,,,,
2022,3,0,3,,,,
2023,4,5,9,,,,
2024,9,4,13,,,,
2025,35,16,51,,,,
Total,53,25,78,,,,
,,,,,,,
,,,,,,,
Table 8. Cross-tabulation of country/region by publication type,,,,,,,
Country/region,Journal,Conference paper,Total,,,,
India,22,12,34,,,,
China,9,2,11,,,,
Saudi Arabia,5,1,6,,,,
USA,3,2,5,,,,
Iraq,2,1,3,,,,
Turkey,3,0,3,,,,
Morocco,1,1,2,,,,
Pakistan,2,0,2,,,,
Australia,1,0,1,,,,
Bangladesh,0,1,1,,,,
Canada,0,1,1,,,,
Hong Kong,1,0,1,,,,
Kazakhstan,1,0,1,,,,
Korea,1,0,1,,,,
Portugal,1,0,1,,,,
Qatar,1,0,1,,,,
South Korea,0,1,1,,,,
Thailand,1,0,1,,,,
United Arab Emirates,1,0,1,,,,
United Kingdom,0,1,1,,,,
Total,53,25,78,,,,
