Paper_ID,Authors,Year,Title,QA1,QA2,QA3,QA4,QA5,Total_Score
1,"Mo Pingyan, Li Kai, Lu Yanqian, Wen You and Li Tao",2025,Research on the Standardization of AI-driven Data Security Communication Protocols for Power Trading Networks,0.5,1,1,1,1,4.5
2,"Makhabbat Bakyt , Luigi La Spada, Nida Zeeshan, Khuralay Moldamurat, Sabyrzhan Atanov, Assem Konyrkhanova, Nikolay Yurkov, Absalyam Kuanysh, Yertis Marat, Alzhan Tilenbayev",2025,"Advanced Cybersecurity Framework for LEO Aerospace: Integrating Quantum Cryptography, Artificial Intelligence Anomaly Detection, and Blockchain Technology",1,1,0.5,1,1,4.5
3,"Ammar AbdRaba Sakran, Ruwaida Mohammed Yas, Ali Fadhil Rashid, Massila Kamalrudin and Mustafa Musa",2025,Quantum Assisted Blockchain Security Model Using Artificial Intelligence to Reduce Quantum Attacks,0.5,1,1,1,1,4.5
4,"Zhengquan Zhang, Yue Xiao, Zheng Ma, Ming Xiao, Zhiguo Ding, Xianfu Lei, George K. Karagiannidis, and Pingzhi Fan",2020,"6G Wireless Networks Vision, Requirements, Architecture, and Key Technologies",1,1,1,1,1,5
5,"Rinku Singh, Atiya Khan, Neha Purohit, Prasad Lokulwar",2025,Adaptive Multi-Layered Authentication Framework for Secure and Individualized Access to Health Data Sets,0.5,1,0.5,1,1,4
6,"Rihab Benaich, Youssef Gahi, and Saida El Mendili",2025,Pioneering the Security of EHRs Using an Immersive Blockchain Conceptual Framework ,1,1,1,1,1,5
7,"P. Thirusenthil Kumaran, Agnes Treesa J, Uma Priyadarsini P S, Babitha Lincy, Pavithra R and Ranjidha.P",2025,Advancing Adaptive Frequency Control and Dynamic Energy Distribution with AI-Driven Wireless Power Transfer with Deep Learning,0.5,1,0.5,1,1,4
8,"Dr. Jayanthi L., Dr. Suganya A., Dr. G. Maya, Dr. Srinivasan M., Dr. S. Fayaz Begam, Vanguri Smitha",2025,AI Trading: A Growing Part of Fintech Industry,0.5,1,1,1,0.5,4
9,"Khalid Sultan, Ahmad Ehab Madhi, Ali S. Mezher, Mohammad Ali Al-Arar, Mahmoud A. Anabtawi",2025,Beyond Traditional Security: Leveraging Emerging Technologies for Cyber Resilience,0.5,0.5,0.5,0.5,1,3
10,"Bo Yuan, Faguo Wu, Wangjie Qiu, Wendi Wang, Hong Zhu, Dongxu Zhou",2021,Blockchain-Based Infrastructure for Artificial Intelligence with Quantum Resistant,0.5,0.5,0.5,0.5,0.5,2.5
11,Ref. PDF,2025,Running Head Title Blockchain and Quantum FL Based IDS for,0.5,1,0.5,1,1,4
12,"Saleh Darzi, Attila A. Yavuz",2024,Counter Denial of Service for Next-Generation Networks within the Artiﬁcial Intelligence and Post-Quantum Era,0.5,1,0.5,1,1,4
13,"Pan Zhang, Baofeng Zheng, Hongbi Ding, Jun Ruan",2025,"Cybersecurity: Challenges, Technologies and Future",1,1,0.5,0.5,1,4
14,"R. Sheeba, Jay Prakash Mahto, Syed Sabith Ansari, Zian Rajeshkumar Surani, P. Chinnasamy, Manjunathan Alagarsamy",2025,Decentralized Data Validation for Ethical AI Training,0.5,0.5,0.5,1,1,3.5
15,"Syed Anas Ansar, Shruti Aggarwal, Swati Arya, Mohd Asim Sayeed, Nupur Soni, Prabhash Chandra Pathak",2023,Elevating Cybersecurity in Defence: A Collaborative and Technologically Driven Approach Syed Anas Ansar,0.5,0.5,0.5,0.5,1,3
16,"Devanshi Timande, Nishant Agade, Amit Gudadhe, P. K.P.Gaitry Chopra",2025,Enhancing Efficiency and Scalability of AI-Driven Data Analytics with 5G Integration: Challenges and,0.5,0.5,0.5,1,1,3.5
17,"Venugopala Reddy Kasu, P. Deepalakshmi",2025,Equipment Security for Internet of Things: Defending IoT Devices in Exposure-Risk Edge,0.5,0.5,0.5,1,1,3.5
18,"T Srinivas, A S Shaik, A Sharma, D Kumar Gupta, K S Bhuvaneshwari, A Hameed",2025,Hydrogen Fuel Cell Integration with AI-Based Smart Microgrids,0.5,1,0.5,1,0.5,3.5
19,"Srikanth Reddy Vutukuru, Srinivasa Chakravarthi Lade",2025,QryptaShield: Quantum-Inspired Feature Selection and RL-Calibrated Federated Learning for Low-False-Positive IoT Intrusion Detection,0.5,1,1,1,1,4.5
20,"B. Hariprasad, K. P. Sridhar",2025,Robust 6G Networks: Augmenting Physical Layer Security via Adaptive Visible Light Communication Methods,1,0.5,1,1,1,4.5
21,Samar Hussni Anbarkhan,2024,Securing IoT Networks: A Post-Quantum Blockchain and Deep Learning Approach for Enhanced Cyber Defense Samar Hussni Anbarkhan,0.5,1,1,0.5,1,4
22,Stephen J. Andriole,2022,Immersive-Experiential Business-Technology in Simulated Business Cases,0.5,0.5,0.5,0.5,1,3
23,"Z. Abed, Ammar H. Shnawa, M. R. Hadi, Karrar Ibrahim, Myasar Mundher Adnan, Waleed Hameed",2023,Modeling of Metaheuristics with Deep Transfer Learning Based Visual Data Mining for the Healthcare Sector,0.5,0.5,0.5,1,1,3.5
24,"Kollathur Sudheer, Paramjit Baxim, Jaspreet Sidhu, Keshav, K. V. Jamuna, Zuleika Homavazir, Pratap Sahu",2024,Impact of Medical Information Science on Drug Discovery and Pharmaceutical Data Management,0.5,0.5,0.5,1,1,3.5
25,"Erkin Avazov, O'Tkir Matyokubov, Zarina Kutlimuratova",2025,Network Traffic Analysis and Optimization Using Network Analyzers: A Comparative Study Erkin Avazov,0.5,0.5,0.5,1,1,3.5
26,"Luis Enrique Sanchez, Antonio Santos-Olmo, Haralambos Mouratidis, Eduardo Fernandez-Medina",2023,New Frontiers in Security Risk Management,1,0.5,1,0.5,0.5,3.5
27,"Fu Jin, Cui Longlian, Liu Bingshan, Zhang Guobin, Chen Chen",2023,A Novel Methodology to Improve Wellbore Integrity via Reliable Barriers: Integration of Remote Wireless Zonal Water Injection and Intelligent Water,1,1,0.5,0.5,1,4
28,"Md Moniruzzaman, Ajmery Sultana, Georges Kaddoum",2025,Peer-to-Peer Energy Trading in a Local Energy Market Using Quantum Reinforcement Learning,0.5,1,0.5,1,1,4
29,"Wajahat Ali, Ikram Ud Din, Ahmad Almogren, Ayman Altameem, Joel J.P.C. Rodrigues",2025,Post-Quantum Blockchain-Based Secure Framework for Trustworthy Consumer Internet of Things,0.5,1,1,1,1,4.5
30,"Prithwi Bagchi, Basudeb Bera, Ashok Kumar Das, Sachin Shetty, Pandi Vijayakumar, Marimuthu Karuppiah",2023,Post Quantum Lattice-Based Secure Framework using Aggregate Signature for Ambient Intelligence Assisted Blockchain-Based IoT Applications,0.5,0.5,0.5,0.5,0.5,2.5
31,"Mohan Reddy Sareddy, M. Thanjaivadivel",2025,"Protecting Predictive Analytics with Multi-Factor Authentication, Distributed Ledger Technology, and Federated Learning for Improved Data Privacy",0.5,0.5,1,1,0.5,3.5
32,"A Mittal, K Kandi, A Nagineni, V Alla",2025,Q-DTN: A Quantum-Enhanced Framework for Secure Financial Risk Management,0.5,1,0.5,1,1,4
33,"J Satya Prakash, P. Dileep Kumar Reddy",2025,Quantum-AI Scheduling Framework for Secure Healthcare Systems,0.5,1,1,1,1,4.5
34,"Yasodhara Varma Ragineeni, Sangeetha Anand, Machavarapu Venkata Rao",2025,Quantum-Resilient Blockchain-Integrated Covert Authentication for UAV Networks with AI-Driven Consensus Mechanism,0.5,1,0.5,1,1,4
35,"Chaitanya Tumma, Supraja Ayyamgari, Rithwik Sannapu, Abhignan Srivatsava Sribhashyam, Saicharan Kadari",2025,Quantum-Resistant Cryptographic Architecture for Secure Payments and IoT-Driven Banking,0.5,1,0.5,1,1,4
36,"S. Harikrishnan, R. Gopikrishnan, M. L. Sworna Kokila, V. Bibin Christopher",2025,"Quantum-Secured E-Commerce with Blockchain, BB84 and BLAKE3 Encryption using GNN",0.5,1,0.5,1,1,4
37,"Doha Ar-Reyouchi, Houssam Benali, Benbrik Jihane, Kamal Ghoumid, El Miloud Ar-Reyouchi",2025,Secure-by-Design IoMT Networks: A Quantum-Blockchain and AI Framework for 6G Healthcare,1,1,0.5,1,1,4.5
38,"Shimaa A. Abdel Hakeem, Hanan H. Hussein, Hyungwon Kim",2022,Security Requirements and Challenges of 6G Technologies and Applications,1,1,1,1,1,5
39,"Sivasubramanian Ravisankar, Rajagopal Maheswar",2025,SecureEdge-MedChain: A Post-Quantum Blockchain and Federated Learning Framework for Real-Time Predictive Diagnostics in IoMT,0.5,1,1,1,1,4.5
40,"N Srinidhi, R S Yuvarrunjitha, R Gowri, N Kandavel, P Karthikeyan, V Saraswathi",2025,Synergetic Architectures for AI-Driven Quantum Cryptographic Protocols and Secure Communication,0.5,0.5,0.5,1,1,3.5
41,"M. Vajeem Hamiid, N. Vijay, J. Umamageswaran, M. Prabu",2025,The Synergy of DARQ Technologies: Integration and Future,0.5,1,0.5,1,1,4
42,"M. Z. Haider, Tayyaba Noreen, M. Salman",2025,Towards Quantum-Ready Blockchain Fraud Detection via Ensemble Graph Neural Networks,0.5,0.5,0.5,1,1,3.5
43,"Rajawat, A. S.; Goyal, S. B.; Kumar, M.; Kumar, S.",2024,Quantum Deep Neural Network Based Classification of Attack Vectors on the Ethereum Blockchain,1,1,1,1,1,5
44,"Chowdhury, M. Z.; Shahjalal, M.; Ahmed, S.; Jang, Y. M.",2020,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",1,1,0.5,0,1,3.5
